iter	Passed	Remaining
0	2	262
1	5	265
2	8	271
3	10	250
4	12	244
5	15	249
6	18	244
7	21	246
8	24	245
9	27	244
10	29	241
11	32	239
12	35	236
13	37	227
14	39	223
15	41	219
16	43	214
17	46	210
18	47	201
19	49	198
20	51	194
21	53	189
22	55	184
23	56	179
24	58	174
25	59	170
26	61	166
27	62	161
28	64	157
29	65	153
30	66	148
31	68	144
32	69	141
33	70	137
34	71	133
35	73	130
36	74	127
37	76	124
38	77	121
39	78	118
40	80	115
41	80	111
42	82	108
43	83	106
44	84	103
45	86	101
46	87	98
47	88	96
48	90	94
49	91	91
50	93	89
51	94	87
52	96	85
53	97	82
54	98	80
55	99	78
56	100	76
57	102	73
58	103	71
59	104	69
60	106	67
61	107	65
62	108	63
63	110	62
64	111	60
65	112	58
66	114	56
67	115	54
68	117	52
69	118	50
70	120	49
71	121	47
72	122	45
73	124	43
74	125	41
75	127	40
76	128	38
77	129	36
78	130	34
79	132	33
80	133	31
81	134	29
82	135	27
83	137	26
84	138	24
85	140	22
86	141	21
87	142	19
88	143	17
89	145	16
90	146	14
91	148	12
92	149	11
93	150	9
94	152	8
95	153	6
96	154	4
97	156	3
98	157	1
99	158	0
